Image,SKU,Name,Color,Size,URL,Plano,Dallas,Oklahoma City,Fayetteville,Olathe,Mesa,Upland,Naperville,Orland Park,Fairview Heights,Avon,Greenwood
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/24ASIMGLNMBS272BLMNS_Black_Grey/?hei=80&wid=80&op_sharpen=1"")",26323266,ASICS Men's GEL-NIMBUS 27 Running Shoes,Black/Grey,13.0,https://www.dickssportinggoods.com/p/asics-mens-gel-nimbus-27-running-shoes-24asimglnmbs272blmns/24asimglnmbs272blmns?color=Black%2FGrey&sku=26323266,0,0,0,0,0,0,0,0,0,0,0,0
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106783,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,10.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106783,0,0,0,2,0,1,0,1,0,1,1,4
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106784,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,10.5,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106784,0,2,5,3,4,0,0,0,8,0,1,1
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106785,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,11.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106785,1,3,7,1,1,1,0,2,0,1,1,1
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106786,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,11.5,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106786,2,1,5,0,0,3,2,0,3,0,1,4
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106787,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,12.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106787,3,0,12,2,2,3,0,0,0,2,2,5
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106789,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,13.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106789,0,1,0,2,0,0,1,0,0,0,1,0
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106790,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,14.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106790,0,0,0,0,0,1,1,0,1,0,0,0
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106779,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,8.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106779,0,0,2,2,0,0,0,0,3,1,0,1
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106780,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,8.5,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106780,0,0,0,0,1,5,0,0,0,0,1,0
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106781,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,9.0,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106781,0,0,0,0,0,0,0,1,0,0,0,0
"=IMAGE(""https://dks.scene7.com/is/image/dkscdn/23ASIMGLDDCT8PBWHSOM_Black_White/?hei=80&wid=80&op_sharpen=1"")",25106782,ASICS Men's Gel-Dedicate 8 Pickleball Shoes,Black/White,9.5,https://www.dickssportinggoods.com/p/asics-mens-gel-dedicate-8-pickleball-shoes-23asimglddct8pbwhsom/23asimglddct8pbwhsom?sku=25106782,0,2,6,2,3,1,0,0,1,1,0,1
